OBJECTID,FIPSCODE,FIPSNUM,NAME,LABEL,TYPE,SQKM,SQMILES,ACRES,VER,LAYOUT,PENINSULA,ShapeSTArea,ShapeSTLength
1221,13740,13740,Case,Case Township,Township,176.661,68.209,43653.317,17A,portrait,lower,356945902.886719,80797.5470132028
1222,01480,1480,Allis,Allis Township,Township,171.003,66.024,42255.274,17A,portrait,lower,345493092.832031,87776.9699058593
1223,60680,60680,Onaway,City of Onaway,City,4.219,1.629,1042.649,17A,landscape,lower,8548649.65234375,12698.7555932728
1224,66340,66340,Presque Isle,Presque Isle Township,Township,116.825,45.106,28867.898,17A,portrait,lower,235826566.09375,94694.0506952709
1225,66020,66020,Posen,Posen Township,Township,91.964,35.507,22724.478,17A,landscape,lower,185551333.84375,54674.8628903242
1226,53440,53440,Metz,Metz Township,Township,92.568,35.741,22873.849,17A,landscape,lower,186772481.265625,54698.2396585211
1227,04320,4320,Au Sable,Au Sable Township,Township,92.041,35.537,22743.493,17A,portrait,lower,180852112.894531,53840.1989989462
1228,38020,38020,Higgins,Higgins Township,Township,190.701,73.63,47122.768,17A,portrait,lower,374183876.882812,82105.2012196737
1229,31960,31960,Gerrish,Gerrish Township,Township,96.337,37.196,23805.176,17A,portrait,lower,189310348.414062,55044.7694647451
1230,49840,49840,Lyon,Lyon Township,Township,94.558,36.509,23365.644,17A,portrait,lower,185822356.746094,54781.6114912068
1231,68200,68200,Richfield,Richfield Township,Township,188.532,72.792,46586.703,17A,portrait,lower,368814830.203125,81481.6094657992
1232,51780,51780,Markey,Markey Township,Township,93.445,36.079,23090.518,17A,landscape,lower,183078729.777344,53990.8383380199
1233,44400,44400,Lake,Lake Township,Township,91.655,35.388,22648.178,17A,landscape,lower,179579866.480469,53685.0302337666
1234,04720,4720,Backus,Backus Township,Township,93.155,35.967,23018.764,17A,landscape,lower,181972027.96875,54139.8498552306
1235,21640,21640,Denton,Denton Township,Township,93.496,36.099,23103.215,17A,landscape,lower,182643413.125,54254.0640975255
1236,69560,69560,Roscommon,Roscommon Township,Township,280.297,108.223,69262.174,17A,landscape,lower,546501002.308594,108043.687208533
1237,56980,56980,Nester,Nester Township,Township,186.986,72.195,46204.744,17A,landscape,lower,364186379.449219,80842.4827969999
1238,79840,79840,Tittabawassee,Tittabawassee Township,Township,92.065,35.546,22749.412,17A,portrait,lower,175299773.800781,52993.8274199995
1239,11560,11560,Buena Vista,Buena Vista Township,Township,93.783,36.21,23173.951,17A,portrait,lower,178132664.273438,68743.9334118913
1240,89340,89340,Zilwaukee,Zilwaukee Township,Township,15.482,5.978,3825.703,17A,portrait,lower,29455408.1171875,27579.2376199297
1241,43800,43800,Kochville,Kochville Township,Township,48.672,18.792,12026.976,17A,landscape,lower,92606208.3125,43321.7698193246
1242,89320,89320,Zilwaukee,City of Zilwaukee,City,6.127,2.366,1514.015,17A,portrait,lower,11649233.6484375,15469.7488113601
1243,09400,9400,Blumfield,Blumfield Township,Township,92.315,35.643,22811.275,17A,landscape,lower,175248295.859375,53003.0815990302
1244,13540,13540,Carrollton,Carrollton Township,Township,9.044,3.492,2234.892,17A,portrait,lower,17185094.7382812,19450.5136373517
1245,70540,70540,Saginaw,Saginaw Township,Township,64.472,24.893,15931.201,17A,landscape,lower,122453411.351562,57432.0180560723
1246,79520,79520,Thomas,Thomas Township,Township,82.356,31.798,20350.392,17A,landscape,lower,156349585.246094,53237.8970906846
1247,68340,68340,Richland,Richland Township,Township,95.937,37.041,23706.256,17A,portrait,lower,182155192.5625,54060.8175893555
1248,41900,41900,Jonesfield,Jonesfield Township,Township,65.272,25.202,16128.874,17A,portrait,lower,123927809.1875,45727.6438574425
1249,70520,70520,Saginaw,City of Saginaw,City,46.84,18.085,11574.329,17A,portrait,lower,88877515.4023438,61669.6239698115
1250,41480,41480,James,James Township,Township,50.156,19.365,12393.7,17A,portrait,lower,94995709.6835938,54264.0237832414
1251,30220,30220,Frankenmuth,Frankenmuth Township,Township,83.878,32.385,20726.42,17A,landscape,lower,158794474.328125,91248.3128286983
1252,10460,10460,Bridgeport,Bridgeport Township,Township,90.253,34.847,22301.643,17A,landscape,lower,170861514.722656,55783.3399571403
1253,75480,75480,Spaulding,Spaulding Township,Township,70.911,27.379,17522.3,17A,landscape,lower,134212607.957031,57475.1904685999
1254,77660,77660,Swan Creek,Swan Creek Township,Township,61.045,23.57,15084.395,17A,portrait,lower,115580369.175781,43952.5648063962
1255,30720,30720,Fremont,Fremont Township,Township,95.136,36.732,23508.376,17A,portrait,lower,180113421.054688,53470.6838748257
1256,44560,44560,Lakefield,Lakefield Township,Township,62.395,24.091,15417.919,17A,portrait,lower,118119744.265625,44395.5791003663
1257,30200,30200,Frankenmuth,City of Frankenmuth,City,7.983,3.082,1972.499,17A,portrait,lower,15102588.7773438,38060.346858602
1258,08560,8560,Birch Run,Birch Run Township,Township,92.051,35.541,22745.994,17A,landscape,lower,173773714.867188,52786.1741289932
1259,79100,79100,Taymouth,Taymouth Township,Township,92.109,35.563,22760.298,17A,landscape,lower,173888620.242188,52740.7794787291
1260,00920,920,Albee,Albee Township,Township,93.573,36.129,23122.247,17A,portrait,lower,176656734.164062,53252.0669190581
1261,70660,70660,St Charles,St Charles Township,Township,96.259,37.166,23785.899,17A,portrait,lower,181725138.398438,53947.7390426929
